State,Year,Total_Rainfall_mm,Average_Annual_Rainfall_per_sqkm
Johor,2000,2293.3,0.4260303413400759
Johor,2001,2170.9,0.4260303413400759
Johor,2002,2238.1,0.4260303413400759
Johor,2003,2203.1,0.4260303413400759
Johor,2004,2496.2,0.4260303413400759
Johor,2005,2233.8,0.4260303413400759
Johor,2006,2968.7,0.4260303413400759
Johor,2007,3050.5,0.4260303413400759
Johor,2008,2964.2,0.4260303413400759
Johor,2009,1913.9,0.4260303413400759
Johor,2010,2214.45,0.4260303413400759
Johor,2011,2865.1,0.4260303413400759
Johor,2012,2350.0,0.4260303413400759
Johor,2013,2438.65,0.4260303413400759
Johor,2014,2261.6800000000003,0.4260303413400759
Johor,2015,2134.566,0.4260303413400759
Johor,2016,1864.622,0.4260303413400759
Johor,2017,2530.5379999999996,0.4260303413400759
Johor,2018,2257.026,0.4260303413400759
Johor,2019,2178.694,0.4260303413400759
Johor,2020,2452.134,0.4260303413400759
Johor,2021,2635.2,0.4260303413400759
Kedah,2000,2154.1,0.4874751879699248
Kedah,2001,2052.95,0.4874751879699248
Kedah,2002,2164.6,0.4874751879699248
Kedah,2003,2704.25,0.4874751879699248
Kedah,2004,2120.35,0.4874751879699248
Kedah,2005,2697.6,0.4874751879699248
Kedah,2006,2494.5,0.4874751879699248
Kedah,2007,2395.3,0.4874751879699248
Kedah,2008,2308.65,0.4874751879699248
Kedah,2009,2644.8,0.4874751879699248
Kedah,2010,2398.2,0.4874751879699248
Kedah,2011,2272.6,0.4874751879699248
Kedah,2012,2580.2,0.4874751879699248
Kedah,2013,2222.85,0.4874751879699248
Kedah,2014,2273.056666666667,0.4874751879699248
Kedah,2015,2324.806666666667,0.4874751879699248
Kedah,2016,1956.3333333333333,0.4874751879699248
Kedah,2017,2592.1666666666665,0.4874751879699248
Kedah,2018,2223.9366666666665,0.4874751879699248
Kedah,2019,2374.0,0.4874751879699248
Kedah,2020,2398.4233333333336,0.4874751879699248
Kedah,2021,2272.0,0.4874751879699248
Kelantan,2000,3012.2,0.3992724210685665
Kelantan,2001,2559.85,0.3992724210685665
