State,Selected meteorological station,Height above mean sea level in metres,Year,Minimum Mean temperature in Celcius,Maximum Mean temperature in Celcius,Total_Rainfall_mm,Number of Days of Rainfall,Mean relative humidity in Percentage,Average_Annual_Rainfall_per_sqkm
Johor,Senai,(37.8m),2000,22.9,32.3,2388.3,205.0,86.1,0.4260303413400759
Johor,Kluang,(88.1m),2000,23.1,32.0,2198.3,200.0,86.6,0.4260303413400759
Johor,Senai,(37.8m),2001,22.9,32.1,2531.9,215.0,86.2,0.4260303413400759
Johor,Kluang,(88.1m),2001,23.3,32.0,1809.9,191.0,86.3,0.4260303413400759
Johor,Senai,(37.8m),2002,22.8,31.7,2616.2,186.0,84.7,0.4260303413400759
Johor,Kluang,(88.1m),2002,23.4,32.7,1860.0,175.0,85.1,0.4260303413400759
Johor,Senai,(37.8m),2003,22.8,31.7,2340.5,202.0,85.3,0.4260303413400759
Johor,Kluang,(88.1m),2003,23.4,32.3,2065.7,192.0,86.3,0.4260303413400759
Johor,Senai,(37.8m),2004,22.9,32.0,2758.5,183.0,84.6,0.4260303413400759
Johor,Kluang,(88.1m),2004,23.4,32.4,2233.9,171.0,85.2,0.4260303413400759
Johor,Senai,(37.8m),2005,23.2,31.7,2450.0,194.0,82.9,0.4260303413400759
Johor,Kluang,(88.1m),2005,23.5,32.8,2017.6,164.0,82.3,0.4260303413400759
Johor,Senai,(37.8m),2006,23.1,31.5,3075.9,195.0,84.2,0.4260303413400759
Johor,Kluang,(88.1m),2006,23.4,32.7,2861.5,202.0,81.8,0.4260303413400759
Johor,Senai,(37.8m),2007,23.0,31.1,3402.2,210.0,86.8,0.4260303413400759
Johor,Kluang,(88.1m),2007,23.4,32.5,2698.8,187.0,82.1,0.4260303413400759
Johor,Senai,(37.8m),2008,22.9,30.9,3146.0,207.0,87.0,0.4260303413400759
Johor,Kluang,(88.1m),2008,23.1,32.3,2782.4,198.0,83.2,0.4260303413400759
Johor,Senai,(37.8m),2009,23.2,31.6,1919.9,173.0,85.7,0.4260303413400759
Johor,Kluang,(88.1m),2009,23.2,31.8,1907.9,161.0,85.2,0.4260303413400759
Johor,Senai,(37.8m),2010,23.5,32.0,2576.2,207.0,84.4,0.4260303413400759
Johor,Kluang,(88.1m),2010,23.4,32.0,1852.7,198.0,85.4,0.4260303413400759
Johor,Senai,(37.8m),2011,23.5,31.7,2702.6,202.0,85.2,0.4260303413400759
Johor,Kluang,(88.1m),2011,23.1,31.2,3027.6,198.0,87.1,0.4260303413400759
Johor,Senai,(37.8m),2012,23.4,31.8,2810.0,197.0,86.5,0.4260303413400759
Johor,Kluang,(88.1m),2012,23.5,32.1,1890.0,183.0,85.9,0.4260303413400759
Johor,Senai,(37.8m),2013,23.9,32.2,2880.9,210.0,85.3,0.4260303413400759
Johor,Kluang,(88.1m),2013,23.9,32.2,1996.4,175.0,84.3,0.4260303413400759
Johor,Senai,(37.8m),2014,23.5,32.2,2616.8,183.0,83.8,0.4260303413400759
Johor,Kluang,(88.1m),2014,23.6,32.3,2245.8,160.0,83.1,0.4260303413400759
Johor,,,2014,,,1922.44,,,0.4260303413400759
Johor,Senai,(37.8m),2015,23.7,32.4,2474.2,178.0,85.1,0.4260303413400759
Johor,Kluang,(88.1m),2015,24.0,32.7,1928.8,155.0,83.3,0.4260303413400759
Johor,Batu Pahat,(6.3 m),2015,24.1,32.4,1865.4,159.0,83.2,0.4260303413400759
Johor,Mersing,(43.6 m),2015,24.3,32.2,2047.4,141.0,84.2,0.4260303413400759
Johor,,,2015,,,2357.03,,,0.4260303413400759
Johor,Senai,(37.8m),2016,24.4,32.9,1926.6,194.0,85.6,0.4260303413400759
Johor,Kluang,(88.1m),2016,24.3,32.7,1633.8,173.0,83.4,0.4260303413400759
Johor,Batu Pahat,(6.3 m),2016,24.6,32.7,1848.6,179.0,84.6,0.4260303413400759
Johor,Mersing,(43.6 m),2016,24.8,33.1,1589.0,148.0,82.6,0.4260303413400759
Johor,,,2016,,,2325.11,,,0.4260303413400759
Johor,Senai,(37.8m),2017,24.0,32.1,2926.7,221.0,86.8,0.4260303413400759
Johor,Kluang,(88.1m),2017,23.8,31.8,2277.6,198.0,85.3,0.4260303413400759
Johor,Batu Pahat,(6.3 m),2017,24.4,31.9,2118.2,204.0,84.9,0.4260303413400759
Johor,Mersing,(43.6 m),2017,23.9,32.1,2190.0,168.0,86.4,0.4260303413400759
Johor,,,2017,,,3140.19,,,0.4260303413400759
